epoch,step,train_acc,train_loss,val_acc,val_loss
0,15,,,0.10833333432674408,2.3378188610076904
0,15,0.1599999964237213,2.2465686798095703,,
1,31,,,0.10833333432674408,2.412754535675049
1,31,0.22599999606609344,2.1001856327056885,,
2,47,,,0.07500000298023224,2.2881104946136475
2,47,0.30399999022483826,1.9753992557525635,,
3,63,,,0.25,2.28513503074646
3,63,0.3319999873638153,1.9095662832260132,,
4,79,,,0.1666666716337204,2.3704819679260254
4,79,0.3779999911785126,1.8413357734680176,,
5,95,,,0.2083333283662796,2.4767892360687256
5,95,0.3659999966621399,1.795290231704712,,
6,111,,,0.25833332538604736,2.3749496936798096
6,111,0.3799999952316284,1.7476497888565063,,
7,127,,,0.2750000059604645,2.4380593299865723
7,127,0.38199999928474426,1.7194106578826904,,
8,143,,,0.25,2.397568702697754
8,143,0.4440000057220459,1.645267367362976,,
9,159,,,0.15833333134651184,2.4606995582580566
9,159,0.4440000057220459,1.6249436140060425,,
10,175,,,0.24166665971279144,2.428363800048828
10,175,0.4699999988079071,1.5320031642913818,,
11,191,,,0.3083333373069763,2.4369008541107178
11,191,0.5059999823570251,1.5259865522384644,,
12,207,,,0.2666666805744171,2.430194616317749
12,207,0.49799999594688416,1.5138195753097534,,
13,223,,,0.21666666865348816,2.4345524311065674
13,223,0.5040000081062317,1.5104433298110962,,
14,239,,,0.22499999403953552,2.435698986053467
14,239,0.5379999876022339,1.4722604751586914,,
15,255,,,0.21666666865348816,2.432108163833618
15,255,0.515999972820282,1.4822925329208374,,
16,271,,,0.22499999403953552,2.4213550090789795
16,271,0.5019999742507935,1.493738055229187,,
17,287,,,0.22499999403953552,2.426630735397339
17,287,0.5360000133514404,1.4424381256103516,,
18,303,,,0.22499999403953552,2.4226975440979004
18,303,0.5120000243186951,1.4501233100891113,,
