epoch,step,train_acc,train_loss,val_acc,val_loss
0,15,,,0.10000000149011612,2.3665640354156494
0,15,0.19200000166893005,2.182396411895752,,
1,31,,,0.1666666716337204,2.3347318172454834
1,31,0.28600001335144043,2.0260486602783203,,
2,47,,,0.10833333432674408,2.289865255355835
2,47,0.3059999942779541,1.9500786066055298,,
3,63,,,0.17499999701976776,2.2628610134124756
3,63,0.34599998593330383,1.9022983312606812,,
4,79,,,0.24166665971279144,2.2547531127929688
4,79,0.39800000190734863,1.8546334505081177,,
5,95,,,0.18333333730697632,2.246629238128662
5,95,0.4020000100135803,1.8158314228057861,,
6,111,,,0.25833332538604736,2.271153211593628
6,111,0.4560000002384186,1.7583695650100708,,
7,127,,,0.2083333283662796,2.249774217605591
7,127,0.45399999618530273,1.7606204748153687,,
8,143,,,0.23333333432674408,2.2401113510131836
8,143,0.4440000057220459,1.734603762626648,,
9,159,,,0.22499999403953552,2.2165615558624268
9,159,0.4779999852180481,1.673248529434204,,
10,175,,,0.19166666269302368,2.283961772918701
10,175,0.4959999918937683,1.6581388711929321,,
11,191,,,0.1666666716337204,2.2555270195007324
11,191,0.4779999852180481,1.660106897354126,,
12,207,,,0.2666666805744171,2.264864683151245
12,207,0.5239999890327454,1.6113874912261963,,
13,223,,,0.25,2.285752058029175
13,223,0.49399998784065247,1.5901904106140137,,
14,239,,,0.23333333432674408,2.2785212993621826
14,239,0.4959999918937683,1.5986069440841675,,
15,255,,,0.19166666269302368,2.288187265396118
15,255,0.5019999742507935,1.563039779663086,,
16,271,,,0.21666666865348816,2.2609007358551025
16,271,0.5419999957084656,1.5181491374969482,,
17,287,,,0.25833332538604736,2.2584216594696045
17,287,0.5559999942779541,1.4925771951675415,,
18,303,,,0.24166665971279144,2.253911256790161
18,303,0.5600000023841858,1.4991298913955688,,
19,319,,,0.25,2.250032901763916
19,319,0.5519999861717224,1.4958142042160034,,
20,335,,,0.22499999403953552,2.243105173110962
20,335,0.5460000038146973,1.4949133396148682,,
21,351,,,0.23333333432674408,2.256589651107788
21,351,0.5519999861717224,1.4839097261428833,,
22,367,,,0.24166665971279144,2.2509210109710693
22,367,0.5640000104904175,1.4979251623153687,,
23,383,,,0.25,2.250030755996704
23,383,0.5619999766349792,1.4798352718353271,,
24,399,,,0.23333333432674408,2.2573022842407227
24,399,0.5640000104904175,1.469260573387146,,
