epoch,step,train_acc,train_loss,val_acc,val_loss
0,31,,,0.11666666716337204,2.2434115409851074
0,31,0.12800000607967377,2.29001522064209,,
1,63,,,0.20000000298023224,2.1927084922790527
1,63,0.27000001072883606,2.170677423477173,,
2,95,,,0.23333333432674408,2.1349267959594727
2,95,0.33399999141693115,2.0920560359954834,,
3,127,,,0.3583333194255829,2.0589308738708496
3,127,0.40799999237060547,2.0151431560516357,,
4,159,,,0.4166666567325592,1.9914435148239136
4,159,0.4659999907016754,1.9266911745071411,,
5,191,,,0.2916666567325592,1.9700336456298828
5,191,0.6100000143051147,1.847414255142212,,
6,223,,,0.5249999761581421,1.901566982269287
6,223,0.5139999985694885,1.7971949577331543,,
7,255,,,0.4000000059604645,1.8524062633514404
7,255,0.6119999885559082,1.7398927211761475,,
8,287,,,0.46666666865348816,1.8265492916107178
8,287,0.7239999771118164,1.6527076959609985,,
9,319,,,0.44999998807907104,1.786504864692688
9,319,0.7260000109672546,1.5913182497024536,,
10,351,,,0.4749999940395355,1.7416608333587646
10,351,0.7419999837875366,1.5387389659881592,,
11,383,,,0.5166666507720947,1.723859429359436
11,383,0.7839999794960022,1.4815260171890259,,
12,415,,,0.5333333611488342,1.6932953596115112
12,415,0.7279999852180481,1.458548665046692,,
13,447,,,0.44999998807907104,1.6636977195739746
13,447,0.7720000147819519,1.399875521659851,,
14,479,,,0.5833333134651184,1.6052724123001099
14,479,0.7879999876022339,1.3761972188949585,,
15,511,,,0.5249999761581421,1.6054142713546753
15,511,0.8339999914169312,1.3189563751220703,,
16,543,,,0.550000011920929,1.5839029550552368
16,543,0.7960000038146973,1.2772849798202515,,
17,575,,,0.5583333373069763,1.5577590465545654
17,575,0.8159999847412109,1.2347359657287598,,
18,607,,,0.550000011920929,1.5332272052764893
18,607,0.8339999914169312,1.192247748374939,,
19,639,,,0.5833333134651184,1.5065637826919556
19,639,0.8379999995231628,1.168778419494629,,
20,671,,,0.550000011920929,1.4963899850845337
20,671,0.8460000157356262,1.1325666904449463,,
21,703,,,0.6000000238418579,1.4758464097976685
21,703,0.8320000171661377,1.110939621925354,,
22,735,,,0.6416666507720947,1.4466904401779175
22,735,0.8339999914169312,1.0897352695465088,,
23,767,,,0.5583333373069763,1.449131727218628
23,767,0.8659999966621399,1.0473135709762573,,
24,799,,,0.6333333253860474,1.4110445976257324
24,799,0.871999979019165,1.0176812410354614,,
25,831,,,0.5916666388511658,1.4324370622634888
25,831,0.8399999737739563,1.031970500946045,,
26,863,,,0.6583333611488342,1.3773444890975952
26,863,0.843999981880188,0.9759424924850464,,
27,895,,,0.5916666388511658,1.3915702104568481
27,895,0.871999979019165,0.9796080589294434,,
28,927,,,0.6000000238418579,1.3677531480789185
28,927,0.8880000114440918,0.9250314235687256,,
29,959,,,0.6083333492279053,1.3512533903121948
29,959,0.8700000047683716,0.9162344336509705,,
30,991,,,0.6166666746139526,1.340949296951294
30,991,0.8980000019073486,0.8800238966941833,,
31,1023,,,0.6166666746139526,1.3307547569274902
31,1023,0.8799999952316284,0.879718542098999,,
32,1055,,,0.5833333134651184,1.3275843858718872
32,1055,0.8880000114440918,0.8516315221786499,,
33,1087,,,0.6166666746139526,1.3152087926864624
33,1087,0.8880000114440918,0.836341142654419,,
34,1119,,,0.6083333492279053,1.3049321174621582
34,1119,0.8880000114440918,0.817375659942627,,
35,1151,,,0.6666666865348816,1.244372010231018
35,1151,0.8980000019073486,0.8160959482192993,,
36,1183,,,0.6000000238418579,1.2942070960998535
36,1183,0.8960000276565552,0.799518883228302,,
37,1215,,,0.6166666746139526,1.2786465883255005
37,1215,0.9039999842643738,0.7706918120384216,,
38,1247,,,0.5916666388511658,1.2873265743255615
38,1247,0.921999990940094,0.7517983913421631,,
39,1279,,,0.6583333611488342,1.2137569189071655
39,1279,0.9120000004768372,0.7260448336601257,,
40,1311,,,0.625,1.2341575622558594
40,1311,0.9139999747276306,0.7183903455734253,,
41,1343,,,0.6416666507720947,1.2065036296844482
41,1343,0.9200000166893005,0.7234328389167786,,
42,1375,,,0.6083333492279053,1.249346375465393
